"","Symbol","Name","Branche"
"412","BNSO","Bonso Electronics International",NA
"413","BNTC","Benitec Biopharma","Gesundheitswesen"
"414","BNTX","BioNTech SE ",NA
"415","BOCH","Bank of Commerce Holdings (CA) ",NA
"416","BOKF","BOK Financial","Finanzen"
"417","BOMN","Boston Omaha",NA
"418","BOOM","DMC Global",NA
"419","BOSC","B.O.S. Better Online Solutions ",NA
"420","BOTJ","Bank of the James Financial Group",NA
"421","BOTZ","Global X Robotics & Artificial Intelligence ETF",NA
"422","BOWX","BowX Acquisition",NA
"423","BOXL","Boxlight",NA
"424","BPFH","Boston Private Financial Holdings","Finanzen"
"425","BPMC","Blueprint Medicines","Technologie"
"426","BPOP","Popular","Finanzen"
"427","BPRN","The Bank of Princeton ",NA
"428","BPTH","Bio",NA
"429","BPY","Brookfield Property Partners L.P. ",NA
"430","BPYU","Brookfield Property REIT",NA
"431","BRID","Bridgford Foods","Konsumgüter"
"432","BRKL","Brookline Bancorp","Finanzen"
"433","BRKR","Bruker","Gesundheitswesen"
"434","BRKS","Brooks Automation",NA
"435","BRLI","Brilliant Acquisition",NA
"436","BROG","Brooge Energy Limited  ",NA
"437","BRP","BRP Group",NA
"438","BRPA","Big Rock Partners Acquisition","Finanzen"
"439","BRQS","Borqs Technologies ",NA
"440","BRY","Berry(bry) ",NA
"441","BSAE","Invesco BulletShares 2021 USD Emerging Markets Debt ETF",NA
"442","BSBE","Invesco BulletShares 2022 USD Emerging Markets Debt ETF",NA
"443","BSBK","Bogota Financial","Finanzen"
"444","BSCE","Invesco BulletShares 2023 USD Emerging Markets Debt ETF",NA
"445","BSCK","Invesco BulletShares 2020 Corporate Bond ETF",NA
"446","BSCL","Invesco BulletShares 2021 Corporate Bond ETF",NA
"447","BSCM","Invesco BulletShares 2022 Corporate Bond ETF",NA
"448","BSCN","Invesco BulletShares 2023 Corporate Bond ETF",NA
"449","BSCO","Invesco BulletShares 2024 Corporate Bond ETF",NA
"450","BSCP","Invesco BulletShares 2025 Corporate Bond ETF",NA
"451","BSCQ","Invesco BulletShares 2026 Corporate Bond ETF",NA
"452","BSCR","Invesco BulletShares 2027 Corporate Bond ETF",NA
"453","BSCS","Invesco BulletShares 2028 Corporate Bond ETF",NA
"454","BSCT","Invesco BulletShares 2029 Corporate Bond ETF",NA
"455","BSCU","Invesco BulletShares 2030 Corporate Bond ETF",NA
"456","BSDE","Invesco BulletShares 2024 USD Emerging Markets Debt ETF",NA
"457","BSET","Bassett Furniture Industries Incorporated ",NA
"458","BSGM","BioSig Technologies","Gesundheitswesen"
"459","BSJK","Invesco BulletShares 2020 High Yield Corporate Bond ETF",NA
"460","BSJL","Invesco BulletShares 2021 High Yield Corporate Bond ETF",NA
"461","BSJM","Invesco BulletShares 2022 High Yield Corporate Bond ETF",NA
"462","BSJN","Invesco BulletShares 2023 High Yield Corporate Bond ETF",NA
"463","BSJO","Invesco BulletShares 2024 High Yield Corporate Bond ETF",NA
"464","BSJP","Invesco BulletShares 2025 High Yield Corporate Bond ETF",NA
"465","BSJQ","Invesco BulletShares 2026 High Yield Corporate Bond ETF",NA
"466","BSJR","Invesco BulletShares 2027 High Yield Corporate Bond ETF",NA
"467","BSJS","Invesco BulletShares 2028 High Yield Corporate Bond ETF",NA
"468","BSML","Invesco BulletShares 2021 Municipal Bond ETF",NA
"469","BSMM","Invesco BulletShares 2022 Municipal Bond ETF",NA
"470","BSMN","Invesco BulletShares 2023 Municipal Bond ETF",NA
"471","BSMO","Invesco BulletShares 2024 Municipal Bond ETF",NA
"472","BSMP","Invesco BulletShares 2025 Municipal Bond ETF",NA
"473","BSMQ","Invesco BulletShares 2026 Municipal Bond ETF",NA
"474","BSMR","Invesco BulletShares 2027 Municipal Bond ETF",NA
"475","BSMS","Invesco BulletShares 2028 Municipal Bond ETF",NA
"476","BSMT","Invesco BulletShares 2029 Municipal Bond ETF",NA
"477","BSMU","Invesco BulletShares 2030 Municipal Bond ETF",NA
"478","BSQR","BSQUARE",NA
"479","BSRR","Sierra Bancorp ",NA
"480","BSTC","BioSpecifics Technologies Corp ",NA
"481","BSVN","Bank7","Finanzen"
"482","BSY","Bentley Systems Incorporated ",NA
"483","BTAI","BioXcel Therapeutics","Gesundheitswesen"
"484","BTAQ","Burgundy Technology Acquisition",NA
"485","BTBT","Bit Digital",NA
"486","BTEC","Principal Healthcare Innovators Index ETF",NA
